n,concept_en,ita,fra,spa,cat,deu,slv,eng,fur,lij,lmo,sc,scn,vec
1,I (1sg),io,je,yo,jo,ich,jaz,I (1sg),jo,mi,mì,deo,jù,mi
2,you (2sg),tu,tu,tú,tu,"du, Sie",ti,you (2sg),tu,ti,tì,tue,tu,ti
3,"he, she, it (3sg)","egli, lui",il,él,ell,"er, sie, es","on, ona, ono","he, she, it (3sg)",lui,lê,"lù, lüü",issu,iḍḍu,"lu, el"
4,we (1pl),noi,nous,nosotros,nosaltres,wir,"mi, me",we (1pl),"noaltris, nô","noî, niâtri","nun, nüm",nois,nuautri,noaltri
5,you (2pl),voi,vous,vosotros,vosaltres,"ihr, Sie","vi, ve",you (2pl),"vô, voaltris","voî, viâtri","violter, viòltar, viotar",bois,vuautri,voaltri
6,they (3pl),"loro, essi","ils m, elles f","ellos m, ellas f","ells m, elles f",sie,"oni, one",they (3pl),lôr,"lô, liâtri",luur,issos,iḍḍi,"lori, i"
7,this,questo,"ce/cet m, cette f","éste m, ésta f","aquest, este m, aquesta, esta f","dieser, diese, dieses, dies","ta, to",this,chest,"quésto, sto","quell … chì, cal … ché, chì, queschì, isto",custu,chistu,sto qua
8,that,quello,"ce/cet m, cette f","ése m, ésa f (near), aquél m, aquélla f (far)","aquell, eixe m, aquella, eixa f","der, die, das, jener, jene, jenes","tisti, tista, tisto",that,chel,quéllo,"quell … lì, cal … lé, lì",cuddu,chiḍḍu,sto la
9,here,"qui, qua",ici,"aquí, acá","aquí, ací",hier,"tu, tukaj",here,"ca, chi",chi,"chì, chichinscì, chiloo, scià",inoghe,cca,qua
10,there,"lì, là",là,"allí (far), ahí (near)","allà, allí","da, dort",tam,there,là,la,"lì, lé, là",addaeche,"ḍḍà, ḍḍocu",là
11,who,chi,qui,"quién sg, quiénes pl",qui,wer,kdo,who,cui,chi,"chiè, s'cè, chiè che, s'cè che",chie,cui,chi
12,what,"che, cosa",quoi,qué,"que, què",was,kaj,what,ce,"cöse, cösa","cosè, cusè, sa","itte, chi","chi, zoccu","cossa, coss'"
13,where,dove,où,dónde,on,wo,kje,where,dulà,dôve,"indoè, inde",ube,unni,ndove
14,when,quando,quand,cuándo,quan,wann,kdaj,when,cuant,quànde,"quaant, quand",cando,quannu,cuando
15,how,come,comment,cómo,com,wie,kako,how,cemût,cómme,comè,comente,comu,come
16,not,non,ne pas,no,no,nicht,ne,not,no,no,"minga, mìa, méa, nò",nono,"no, noni",no
17,all,tutto,tout,todo,tot,alle,vse,all,dut,tùtto,"tutt, tüt, töt, tucc, tücc, tücòos, tuscòss",totu,tuttu,tuto
18,many,tanto,"beaucoup, maint (archaic)",mucho,molt,viele,"veliko, mnogo",many,tancj,tànto,"paricc, assee, tanc",tantu,assai,sai
19,some,alcuni,quelques,algunos,alguns,"einige, manche","nekoliko, nekaj",some,"cetancj, cualchi",quàrche,on quaj,carchi,quarchi,cualche
20,few,poco,peu,poco,poc,wenig,malo,few,pôc,pöco,pòcch,pacu,picca,poco
21,other,altro,autre m/f,"otro m, otra f","altre m, altra f",anderer,drugi,other,altri,âtro,"olter, òltar, otar",àtteru,autru,altro
22,one,"un, uno, una, un'","un m, une f","uno m, un m (before a masculine noun), una f","un m, una f",eins,ena,one,un,un,"vun, vün",unu,unu,un
23,two,due,deux,dos,"dos m, dues f","zwei, zwo","dva, dve",two,"doi*, dôs*","doî*, dôe*","duu, düü, dò, dó",duos,dui,do
24,three,tre,trois,tres,tres,drei,tri,three,trê,"tréi*, træ*","trii, tré, trè",tres,tri,tre
25,four,quattro,quatre,cuatro,quatre,vier,štiri,four,cuatri,quàttro,"quater, quatar",battor,quattru,cuatro
26,five,cinque,cinq,cinco,cinc,fünf,pet,five,cinc,çìnque,ciinch,chimbe,cincu,zinque
27,big,grande,grand,grande,"gros, gran",groß,velik,big,grant,grànde,"graant, gross",mannu,granni,grando
28,long,lungo,long,"largo, luengo (obs.)","llarg, llong (obs.)",lang,dolg,long,lunc,lóngo,luunch,longu,longu,longo
29,wide,largo,large,ancho,ample,"breit, weit",širok,wide,larc,làrgo,laarch,làrgu,largu,largo
30,thick,spesso,"gros, épais",grueso,gruixut,dick,debel,thick,"penç, grues",drûo,èrtegh,ispìssu,"nfutu, spissu",groso
31,heavy,pesante,lourd,pesado,"pesat, pesant",schwer,"težek, težak",heavy,pesant,pezànte,"gréef, ch'el dà al pées",pesante,pisanti,pesanto
32,small,piccolo,petit,pequeño,petit,klein,majhen,small,piçul,picìn,pinìn,pitzinnu,nicu,picio
33,short,corto,court,corto,curt,kurz,kratek,short,curt,cùrto,cüürt,curtu,curtu,corto
34,narrow,stretto,étroit,estrecho,estret,"eng, schmal",ozek,narrow,stret,stréito,"stréeng, strénc, strècc",istrintu,strittu,strento
35,thin,sottile,maigre,"delgado, fino (objects only)","prim, magre",dünn,tanek,thin,fin,sotî,"fin, sutiir, màgher",suttile,"màguru, siccu",magro
36,woman,donna,femme,mujer,dona,"Frau, Weib",ženska,woman,femine,dònna,dòna,femina,fìmmina,dona
37,man (adult male),uomo,homme,hombre,home,Mann,moški,man (adult male),om,òmmo,"óm, òmm",omine,omu,omo
38,man (human being),persona,"humain, personne","humano, persona",humà,Mensch,človek,man (human being),persone,persónn-a,"persóna, òmen",persona,omu,omo
39,child,bambino,enfant,niño,"nen, xiquet",Kind,"otrok, dete",child,frut,figeu,"bagaj, bagajìn, fioeu, tuus",pitzinnu,picciriḍḍu,"mulo, putel"
40,wife,moglie,"épouse, femme","esposa, mujer","esposa, muller","Frau, Ehefrau",žena,wife,femine,mogê,"miée, dòna",pobidda,mugghieri,mujer
41,husband,marito,"mari, époux","marido, esposo","marit, espòs","Mann, Ehemann",mož,husband,marît,"màio, marîo","marii, òmm",maridu,maritu,omo
42,mother,madre,"mère, maman","madre, mamá",mare,Mutter,mati,mother,mari,moæ,"mamm, mam",mama,matri,mare
43,father,padre,père,"padre, papá, tata",pare,Vater,oče,father,pari,poæ,"pà, pader",babbu,patri,pare
44,animal,animale,animal,animal,animal,Tier,žival,animal,"animâl, nemâl",animâ,bèstia,animale,armalu,bestia
45,fish,pesce,poisson,pez,peix,Fisch,riba,fish,pes,péscio,pèss,pische,pisci,pese
46,bird,uccello,oiseau,"ave, pájaro","ocell, au",Vogel,"ptič, ptica",bird,ucel,öxéllo,üsèl,puzone,aceḍḍu,usel
47,dog,cane,chien,"perro, can (rare)","gos, ca",Hund,pes,dog,cjan,càn,caŋ,cane,cani,can
48,louse,pidocchio,pou,piojo,poll,Laus,uš,louse,pedoli,pighéuggio,piöcc,peugu,pidocchiu,pedocio
49,snake,serpente,serpent,"serpiente, culebra, sierpe (obs.)",serp,Schlange,kača,snake,"serpint, madrac",serpénte,biss,serpente,sirpenti,bisa
50,worm,verme,ver,"gusano, verme (Zool.)",cuc,Wurm,črv,worm,vier,verme,"giuanìŋ, biótt, cagnon",berme,vermi,verme
51,tree,"albero, pianta",arbre,árbol,arbre,Baum,drevo,tree,arbul,èrbo,"piànta, piònta",alvure,chianta,pianta
52,forest,"foresta, bosco","forêt, sylve (rare), bois","bosque, floresta, selva","bosc, forest (rare)","Forst, Wald",gozd,forest,bosc,bosco,busch,buscu,voscu,bosco
53,stick,bastone,bâton,"palo, vara, bastón (cane)","bastó, pal",Stock,palica,stick,"baston, mace",bacco,bastùŋ,bastone,vastuni,baston
54,fruit,frutta,fruit,"fruto, fruta","fruit, fruita","Frucht, Obst","plod, sadež",fruit,pome,frûta,früt,frutta,fruttu,fruto
55,seed,seme,semence,semilla,"llavor, semença (rare)","Samen, Saat",seme,seed,samence,armella,"soménza, suménza",semene,simenza,seme
56,leaf,foglia,feuille,hoja,fulla,Blatt,list,leaf,fuee,féuggia,"föja, foeuja",foza,fogghia,foja
57,root,radice,racine,raíz,"arrel, rel",Wurzel,koren,root,lidrîs,réixe,"sciocch, sciùch",raighina,ràdica,radise
58,bark (of a tree),corteccia,écorce,corteza,escorça,"Borke, Rinde",skorja,bark (of a tree),scuarce,scorsa,"scòrza, pèll",iscortza,scorcia,scorza
59,flower,fiore,fleur,flor,flor,Blume,"roža, cvet",flower,flôr,sciô,"fiuur, fiùu",flore,ciuri,fior
60,grass,erba,herbe,hierba,herba,Gras,trava,grass,jerbe,erba,èrba,erva,erba,erba
61,rope,"corda, fune",corde,cuerda,corda,"Leine, Seil, Strick",vrv,rope,cuarde,corda,còrda,corda,corda,corda
62,skin,pelle,peau,piel,pell,Haut,koža,skin,piel,pelle,pèll,pedde,peḍḍi,pele
63,meat,carne,"chair, (food) viande",carne,carn,Fleisch,meso,meat,cjar,carne,càrna,petta,carni,carne
64,blood,sangue,sang,sangre,sang,Blut,kri,blood,sanc,sàngoe,sàanch,sambene,sangu,sangue
65,bone,osso,os,hueso,os,Knochen,kost,bone,vues,osso,òss,ossu,ossu,oso
66,fat (noun),grasso,gras,grasa,greix,Fett,maščoba,fat (noun),gras,grascia,grass,grassu,"grassu, sivu",graso
67,egg,uovo,œuf,huevo,ou,Ei,jajce,egg,ûf,êuvo,"ööf, oeuf",ou,ovu,ovo
68,horn,corno,corne,cuerno,banya,Horn,rog,horn,cuar,corno,còrnu,corru,cornu,corno
69,tail,coda,queue,cola,cua,"Schwanz, Schweif",rep,tail,code,côa,cùa,coa,cuda,coda
70,feather,penna,plume,pluma,ploma,Feder,pero,feather,plume,penna,"pèna, badina, piüm",pinna,pinna,pena
71,hair,capello,"cheveu, poil (rare)","cabello, pelo","cabell, pèl",Haar,lasje,hair,cjavel,cavello,cavèj,pilos,capiḍḍu,cavel
72,head,testa,"tête, chef (rare)",cabeza,cap,"Haupt, Kopf",glava,head,cjâf,testa,"coo, cràpa",conca,"capu, testa","crapa, testa"
73,ear,orecchio,oreille,oreja,orella,Ohr,uho,ear,orele,oêgia,urégia,orija,aricchia,recia
74,eye,occhio,œil,ojo,ull,Auge,oko,eye,voli,éuggio,"oeugg, öcc",oju,occhiu,ocio
75,nose,naso,nez,nariz,nas,Nase,nos,nose,nâs,nâzo,naas,nasu,nasu,naso
76,mouth,bocca,bouche,boca,boca,Mund,usta,mouth,bocje,bocca,buca,bucca,vucca,boca
77,tooth,dente,dent,diente,dent,Zahn,zob,tooth,dint,dente,"dinc, déent",dente,denti,dente
78,tongue (organ),lingua,langue,lengua,llengua,Zunge,jezik,tongue (organ),lenghe,léngoa,léngua,limba,lingua,lingua
79,fingernail,unghia,ongle,uña,ungla,Fingernagel,noht,fingernail,ongule,ongia,üngia,ugna,ugna,ongia
80,foot,piede,pied,pie,peu,Fuß,"noga, stopalo",foot,pît,pê,pè,pe’,pedi,pie
81,leg,gamba,jambe,pierna,cama,Bein,noga,leg,gjambe,ganba,"gàmba, garon",camba,gamma,gamba
82,knee,ginocchio,genou,"rodilla, hinojo (old-f.)",genoll,Knie,koleno,knee,zenoli,zenoggio,"genoeugg, genöcc, ginöcc",benuju,dinocchiu,genocio
83,hand,mano,main,mano,mà,Hand,roka,hand,man,man,maŋ,manu,manu,man
84,wing,ala,aile,ala,ala,"Fittich, Flügel, Schwinge","krilo, perut",wing,ale,âa,àla,ala,ala,ala
85,belly,pancia,ventre,"vientre, barriga","ventre, panxa","Bauch, Leib",trebuh,belly,panze,pansa,"borigia, venter, pànza",panza,panza,panza
86,guts,intestino,"entrailles pl, tripes pl, intestins pl","tripas pl, intestinos pl, entrañas pl","budells pl, intestins pl, tripes pl","Eingeweide, Gedärm, Innereien, Kaldaunen","drobovje, črevo",guts,intestin,intestin,"büèl, buvell",bolloros,vureḍḍu,budela
87,neck,collo,"cou, nuque (nape)","cuello, nuca (nape)","coll, nuca (nape)","Hals, Nacken",vrat,neck,cuel,collo,còl,collu,coḍḍu,colo
88,back,schiena,dos,"espalda (human), lomo (animal)","esquena (human), llom (animal)",Rücken,hrbet,back,schene,schénn-a,"s'céna, r'céna, schèna",ischina,carina,schena
89,breast,petto,"poitrine, sein","pecho, seno","pit, si","Brust, Busen","prsi, nedra",breast,pet,pêto,pecc,pettus,pettu,"peto, teta"
90,heart,cuore,cœur,corazón,cor,Herz,srce,heart,cûr,cheu,"cöör, coeur",coro,cori,cor
91,liver,fegato,foie,hígado,fetge,Leber,jetra,liver,fiât,figæto,"fidegh, fìdech",fidigu,fìcatu,fedigo
92,to drink,bere,boire,"beber, tomar",beure,trinken,piti,to drink,bevi,béive,"béef, trincà",biere,vìviri,bever
93,to eat,mangiare,manger,comer,menjar,essen,jesti,to eat,mangjâ,mangiâ,"mangià, majà, maeà, magnà",pappare,"manciari, pistiari",magnar
94,to bite,mordere,mordre,morder,mossegar,beißen,gristi,to bite,muardi,adentâ,"cagnà, sgagnà",mordere,muzzicari,morsigar
95,to suck,succhiare,sucer,chupar,xuclar,"lutschen, saugen",sesati,to suck,supâ,susâ,"sciüscià, ciücà",suere,sucari,ciuciar
96,to spit,sputare,cracher,escupir,escopir,"speien, spucken",pljuvati,to spit,spudâ,spuâ,"spüà, spuvà",istuppiare,sputari,spudar
97,to vomit,vomitare,vomir,vomitar,vomitar,"brechen, erbrechen","bruhati, bljuvati",to vomit,gomitâ,vomitâ,"trà sù, trà sü",istercorare,sbummicari,vometar
98,to blow,soffiare,souffler,soplar,bufar,"blasen, pusten, wehen",pihati,to blow,soflâ,sciusciâ,"boffà, bufà",buffare,ciusciari,sofiar
99,to breathe,respirare,respirer,respirar,respirar,atmen,dihati,to breathe,respirâ,respiâ,fiadà,respirare,ciatari,respirar
100,to laugh,ridere,rire,reír,riure,lachen,smejati se,to laugh,ridi,rîe,"ghignà, riit",riere,rìdiri,rider
101,to see,vedere,voir,ver,"veure, vore",sehen,videti,to see,viodi,védde,"vedè, véet",vìdere,vìdiri,veder
102,to hear,sentire,"entendre, (obs.) ouïr",oír,sentir,hören,slišati,to hear,sintî,sentî,sentì,sentire,sèntiri,sentir
103,to know,sapere,savoir,saber,saber,"kennen, wissen",vedeti,to know,savê,savéi,"savè, cognoss, cugnuss",ischire,sapiri,saver
104,to think,pensare,penser,pensar,pensar,denken,misliti,to think,pensâ,pensâ,pensà,pensare,pinzari,creder
105,to smell,odorare,sentir,oler,"olorar, ensumar",riechen,vohati,to smell,nasâ,ödoâ,"spuzà, fà uduur, savè de, sentì de",annajare,ciagurari,spuzar
106,to fear,temere,craindre,temer,témer,fürchten,bati se,to fear,temi,témme,"vecch pagüra, sgagiass, strimiss",timere,scantàrisi,gaver paura
107,to sleep,dormire,dormir,dormir,dormir,schlafen,spati,to sleep,durmî,dormî,"durmì, dörmì",dormire,dòrmiri,dormir
108,to live,vivere,vivre,vivir,viure,leben,živeti,to live,vivi,vîve,viif,vivere,campari,viver
109,to die,morire,mourir,morir,morir,sterben,umreti,to die,murî,moî,murì,morrere,mòriri,"morir, crepar"
110,to kill,"uccidere, ammazzare",tuer,matar,matar,"töten, umbringen",ubiti,to kill,copâ,amasâ,"mazà, cupà","occhiere, abbutzianare","accìdiri, ammazzari","mazar, copar"
111,to fight,combattere,lutter,"luchar, puñar (obs.)",lluitar,"fechten, kämpfen",boriti se,to fight,lotâ,conbatte,"fà guèra, cumbàtt",cumbattere,cummàttiri,lotar
112,to hunt,cacciare,chasser,cazar,caçar,jagen,loviti,to hunt,cjaçâ,cacciâ,cascià,catzare,cacciari,cazare
113,to hit,colpire,"frapper, battre","golpear, batir","colpejar, batre, colpir",schlagen,udariti,to hit,colpî,batte,"trüssà, picà, ciappà",colpare,cafuḍḍari,bater
114,to cut,tagliare,couper,cortar,tallar,schneiden,rezati,to cut,taiâ,tagiâ,"tajà, mucià, fà giò, scürtà","tagliare, mutzare",tagghiari,tajar
115,to split,dividere,"fendre, diviser","partir, dividir","partir, dividir","spalten, spleißen","razcepiti, razdvojiti",to split,dividi,dividde,"spartì, separà","dividire, ispartzire",spàrtiri,divider
116,to stab,pugnalare,poignarder,apuñalar,"punyir, apunyalar",stechen,"zabosti, zbosti",to stab,scurtissâ,cotelâ,"sbögià, infulcinà","pugnalare, istoccadare","tagghiari, cutiḍḍijari",sbusar
117,to scratch,graffiare,gratter,"rascar, raspar, arañar","rascar, gratar","kratzen, ritzen, scharren",praskati,to scratch,sgrafâ,gratâ,"sfrisà, sbregà, sgarbelà, sgraffignà",iscarrafare,grattari,sgrafare
118,to dig,scavare,creuser,"cavar, excavar","cavar, excavar",graben,kopati,to dig,scavà,scavâ,"scavà, rugà, fà giò ona zocca, spalà foeu",iscavare,scavari,scavar
119,to swim,nuotare,nager,nadar,nedar,schwimmen,plavati,to swim,nadâ,nuâ,"nudà, nuà",nadare,natari,nuotar
120,to fly,volare,voler,volar,volar,fliegen,leteti,to fly,svolâ,xoâ,"sgorà, sgurà",bolare,vulari,svolar
121,to walk,camminare,"marcher, se promener (intrans.)","caminar, andar",caminar,gehen,hoditi,to walk,cjaminâ,caminâ,caminà,caminare,caminari,caminar
