n,concept_en,fur,lij,lmo,sc,scn,vec,ita,fra,spa,cat,por,oci,deu,eng,slv,hrv,hun
1,I (1sg),jo,mi,mì,deo,jù,mi,io,je,yo,jo,eu,ieu,ich,I,jaz,ja,én
2,you (2sg),tu,ti,tì,tue,tu,ti,tu,tu,tú,tu,tu,tu,du,you,ti,ti,te
3_m,"he, she, it (3sg) (m)",lui,lê,lù,issu,iḍḍu,lu,egli,il,él,ell,ele,el,er,he,on,on,ő
3_f,"he, she, it (3sg) (f)",lui,lê,lüü,issu,iḍḍu,el,lui,il,él,ell,ele,el,sie,she,ona,ona,ő
4,we (1pl),noaltris,noî,nun,nois,nuautri,noaltri,noi,nous,nosotros,nosaltres,nós,nosautres,wir,we,mi,mi,mi
5,you (2pl),vô,voî,violter,bois,vuautri,voaltri,voi,vous,vosotros,vosaltres,vós,vosautres,ihr,you,vi,vi,ti
6_m,they (3pl) (m),lôr,lô,luur,issos,iḍḍi,lori,loro,ils,ellos,ells,eles,eles,sie,they,oni,oni,ők
6_f,they (3pl) (f),lôr,liâtri,luur,issos,iḍḍi,i,essi,elles,ellas,elles,elas,elas,sie,they,one,one,ők
7_m,this (m),chest,quésto,quell … chì,custu,chistu,sto qua,questo,ce/cet,éste,este,este,aqueste,dieser,this,ta,ovaj,ez
7_f,this (f),chest,sto,cal … ché,custu,chistu,sto qua,questo,cette,ésta,esta,esta,~a,diese,this,to,taj,ez
8_m,that (m),chel,quéllo,quell … lì,cuddu,chiḍḍu,sto la,quello,ce/cet,ése,eixe,esse,aquel,der,that,tisti,taj,az
8_f,that (f),chel,quéllo,cal … lé,cuddu,chiḍḍu,sto la,quello,cette,ése,eixa,esse,~a,die,that,tista,onaj,az
9,here,ca,chi,chì,inoghe,cca,qua,qui,ici,aquí,aquí,aqui,aicí,hier,here,tu,ovde,itt
10,there,là,la,lì,addaeche,ḍḍà,là,lì,là,allí,allà,ali,ailà,da,there,tam,tamo,ott
11,who,cui,chi,chiè,chie,cui,chi,chi,qui,quién sg,qui,quem,quin,wer,who,kdo,ko,ki
12,what,ce,cöse,cosè,itte,chi,cossa,che,quoi,qué,que,que,qué,was,what,kaj,što,mi
13,where,dulà,dôve,indoè,ube,unni,ndove,dove,où,dónde,on,onde,ont,wo,where,kje,gde,hol
14,when,cuant,quànde,quaant,cando,quannu,cuando,quando,quand,cuándo,quan,quando,quand,wann,when,kdaj,kada,mikor
15,how,cemût,cómme,comè,comente,comu,come,come,comment,cómo,com,como,consí,wie,how,kako,kako,hogy
16,not,no,no,minga,nono,no,no,non,ne pas,no,no,não,pas,nicht,not,ne,ne,nem
17,all,dut,tùtto,tutt,totu,tuttu,tuto,tutto,tout,todo,tot,todo,tot,alle,all,vse,sav,mind
18,many,tancj,tànto,paricc,tantu,assai,sai,tanto,beaucoup,mucho,molt,muito,fòrça,viele,many,veliko,mnogo,sok
19,some,cetancj,quàrche,on quaj,carchi,quarchi,cualche,alcuni,quelques,algunos,alguns,alguns,qualque,einige,some,nekoliko,nekoliko,néhány
20,few,pôc,pöco,pòcch,pacu,picca,poco,poco,peu,poco,poc,pouco,pauc,wenig,few,malo,malo,kevés
21_m,other (m),altri,âtro,olter,àtteru,autru,altro,altro,autre/f,otro,altre,outro,autre,anderer,other,drugi,drugi,más
21_f,other (f),altri,âtro,òltar,àtteru,autru,altro,altro,autre/f,otra,altra,outra,autre,anderer,other,drugi,drugi,más
22_m,one (m),un,un,vun,unu,unu,un,un,un,uno,un,um,un,eins,one,ena,jedan,egy
22_f,one (f),un,un,vün,unu,unu,un,uno,une,una,una,uma,una,eins,one,ena,jedan,egy
23_m,two (m),doi*,doî*,duu,duos,dui,do,due,deux,dos,dos,dois,dos,zwei,two,dva,dva,kettő
