text,label,article_id
Lu movimentu jè talmenti lentu ca ponnu acchianari li gghienti mentri camina.,8,38111
"Contadinu ntô nu modestu paisiaddu, ntô 1524 fu unu ri primi indios a riceveri u battesimu, curu quali si fici chamari in seguitu Juan Diego;",8,46992
"Lu Cunzirvatoriu Franciscu Cilea è nu cunzirvatoriu statali talianu, cu sedi a Riggiu Calàbbria n  Via Aschenez , ntitulatu ô famusu cumpusituri calabbrisi di Parmi Franciscu Cilea .",8,33490
Turku é na citati dâ Finlandia.,8,61090
Zoccu cumunimenti veni difinutu razzismu,8,6196
Nta l'FPS pi skill si ntenni l'abbilitati d'un jucaturi nta l'ammazzari àutri jucatura.,8,11857
"Comu da statutu, lu partitu si prupunìa di:",8,63484
"Lu usu chi si ni pò fari è ntê banni, purtatu grazzi a na cinghia chi passa darreri li spaddi, o ntî n'orchestra fissa, comu parti di na battiria.",8,23046
N'anticu scrittu di lu 1091.  ,8,33332
Lu primu fu chiddu dî Re di Roma.,8,27367
Pulfero è un cumuni talianu dâ pruvincia di Udini ntô Friuli Venezzia Giulia.,8,50376
Thomas Struth  è un futògrufu tudiscu.,8,65093
Cuntribbuzzioni â tiurìa.,8,34948
"Nta la foci di lu Simetu, speciarmenti doppu na forti mariggiata,si po’ ancora arriccògghiri l'ambra, na resina fùssili canusciuta già nta l’èbbica preistòrica.",8,22725
Di n puntu di vista strittamenti nsiemisticu è rilativamenti facili oggi addimustrari chi li nùmmira trascinnenti chi nun sunnu irrazziunali algebbrici esistunu.,8,37867
La sprissioni «jittari lu bannu» havi lu stissu significatu.,8,33311
Attuarmenti u castieddru ospita a mostra permanenti di l'abitu anticu ed è usatu videmma pi celebrari i matrimoni civili.,8,3072
John Adams  fu n'òmunu pulìticu statunitenzi.,8,40844
Lu rigugghiu è nu sviluppu lussuriggianti dâ ciuritura e dû fugghiami nta na chianta o 'n gèniri ntâ natura.,8,22104
Nu missaggiu 'nta lu so significatu cchiu ginirali eni n' uggettu dâ cumunicazzioni.,8,37177
L'uriggini dû muvumentu fu la situazzioni di crisi ca purtau diversi strati dê pupulazzioni a prutistari contra lu cuvernu lucali.,8,47700
Situ Ufficiali di l'Univirsitati di Càgghiari,8,45106
Sti cicli rapidìssimi di apirtura e chiusura di li cordi custituìsciunu li accussìdditti  vibbrazzioni di li cordi vucali .,8,37245
"Anns an Dùbhlachd 2021, bhàsaich Seumas Sirleaf aon de mhic Ellen Sirleaf na dhachaigh ann an Liberia fo shuidheachadh neo-aithnichte.",8,47201
Ajacciu  pâ pusizzioni giogràfica favurèvuli.,8,7870
"Nta lu cantuni cci sunnu li fabbrichi di marchi canusciuti ntî tuttu lu munnu comu Rolex, Jaquet Droz, Bulgari.",8,1777
"E primi tempi dâ sò storia Gela appi un guvernu ripubblicanu ma lu partitu dî nòbbili cumannava câ priputenza, allura ci foru ribilliuna e mmazzatini, e ci foru pirsuni chi àppiru a scappari e si eru a mmucciari a Mactorium chi si truvava dû munti Bubbunia, chi si trova nnû territoriu di oji chi apparteni a Mazzarinu.  ",8,3090
"9 Ddu Diu, a lu quali rinnu cultu nta lu me' spìritu annunziannu lu vancelu di lu Figghiu so', è tistimuni chi iu mi ricordu sempri di vuàutri, 10 addumannannu sempri nta li me' prijeri chi pi vuluntà di Diu mi si grapissi na strata pi vèniri nzinu a vuàutri.",8,7826
"Â fini dû giru anchi lu bancu fa lu stissu prucidimentu e, s'iddu va â missa puru iddu, paga a tutti chiddi ca su' ancora intra lu jocu, si no tutti scòprinu li carti e lu vancu paga a chiddi c'hannu cchiossai e pigghia li sordi di chiddi c'hannu chiù picca.",8,10346
Nta l'antichitati clàssica era identificato con la divinitati greca Cronu.,8,37107
"La Fidi Baha'i, chiamata puru Bahaismu, è na riliggiuni monuteista nasciuta nta la mitati di lu sèculu XIX.",8,4383
Vitti na crozza è una dî cchiù famusi canzuni pupulari siciliani.,8,10290
"Tuttavia cu havi spuntaniamenti paiatu nu dèbbitu di tali urìggini senza ca lu jocu fussi  truccatu , nun pò richèdiri ‘n arreri li summi paiati.",8,8914
"Sciumara 'i Muru fu funnata tra lu sèculu IX e lu sèculu XI dî pròfughi di l'antica cità di  Ceni , pressu di l'attuali Villa San Giuanni, ca avìanu fujutu dâ marina pi la ncursioni dî pirati saracini.",8,29302
"ima ,  media  e  summa , siddu era di jusu, di menzu o di susu.",8,47322
Lu sìmmulu chìmicu è Bi.,8,28060
Ma senza aviri riconoscenza pa muggheri e po regnu mannau in esilio e poi ammazzau Amalasuentha.,8,14639
Lu pruverbiu havi na simigghianza ccu chiddu di la tradizzioni taliana ca dici:  ,8,45301
Dâ vita di l'artista si canusciunu pìcca dittagghi.,8,66788
