text,label,article_id
atenzion cheste pagjine e je di comeda par lis modifichis dai non dai stats par intant fas riferiment al cheste e je une liste par ordin alfabetic dai stats dal mont,0,5
ca a son includuts i stats che a son membris de nazions unidis plui taiwan la citat dal vatican e la autoritat palestines che e a dome un ricognossiment parzial,0,5
l italie e je un stat de europe meridional che e fas part de union europeane fin de so fondazion,0,6
la superficie de italie e je di cirche km cun scuasit milions di abitants e confine a nord ovest cu la france a nord cu la svuizare e la austrie a nord est cu la slovenie,0,6
il furlan friulano friaulisch friulanisch furlanisch friulian furlanscina e je une lenghe romaniche de famee des lenghis retichis che e je fevelade soredut intal friul ma ancje vie pal mont,0,7
cualchi volte al ven clamat ladin oriental parce che al a diviers ponts in comun cul ladin ma si e svilupat in un altri mut cul passa dal timp sot de influence des lenghis ator dal friul talian todesc sloven e venit,0,7
la trasformazion dal latin al furlan si maduris probabilmentri tal periodi che al va dal al x secul in maniere compagne a la formazion des altris lenghis romanichis,0,7
il prin document che al fevele di un latin une vore diferent doprat a aquilee al e adiriture dal secul,0,7
tal liber de viris illustribus di sant jeroni libri dai oms innomenats si conte pe prime volte inte penisule taliane che il vescul di aquilee fortunazian al veve scrit une predicje sui vanzelis doprant il rustico local ven a stai che par jessi sigur di fasi capi al veve scugnut scrivi in un latin une vore diferent di chel classic,0,7
lis primis formis di furlan veri e propit a nassin probabilmentri ator dal an,0,7
un anonim cronist in viac pal friul tal secul al conte che par ve i prins esemplis di leterature o vin di spieta fin tal tresinte cuant che e tache la poetiche dal piruc myo doc inculurit e altris oparis di gjenar amoros,0,7
in te so opere de vulgari eloquentia i dante alighieri descrivint lis varis lenghis de italie al puarte come esempli dal furlan la espression ce fastu,0,7
intal secul il poete ermes di coloret e altris a crearin lavors dula che ancje la vite di ogni di no ven lassade di bande,0,7
il secul al e un periodi che al viot la creazion di une vore di poesie e prose i autors plui famos a son pieri corut il so capolavor e je plovisine e catarine percude che e a mostrat il mont rural dal friul di che volte,0,7
de fin dal al e ancje il prin vocabolari furlan mitut dongje dal abat jacopo pirona,0,7
intal secul il furlan al sameave destinat a smamisi in poc timp invezit il numar da lis personis che fevelin furlan a si an staronzat une vore ma la lenghe e je ancjemo vive e ven doprade in tantis areis,0,7
un grant lavor al e stat fat di graziadio isaia ascoli un famos linguist che al a judat la difese de lenghe si scugne ancje ricuarda la figure di pier paolo pasolini che al a scrit un grum di poesiis par furlan e al a dat une man su la cuistion de forme standard dal furlan,0,7
dula che si fevele par furlan,0,7
il furlan secont lis ultimis stimis al e fevelat di plui o mancul personis intal friul storic e in particular intes pronvinciis di gurize pordenon udin e tal mandament di puart in provincie di vignesie,0,7
ca sot e je la liste complete dai comuns ator pal mont,0,7
il furlan al ven fevelat ancje in une vore di pais che a son stats mete di emigrazion fin ai agns lis comunitats plui grandis di emigrants furlans si lis cjate in australie argjentine belgjo brasil canada france gjermanie stats units di americhe sudafriche e svuizare,0,7
in tancj puescj e je ancjemo impuartant l azion dai fogolars furlans che a cirin di travuarda un contat cul friul e cu la so lenghe,0,7
altris a travuardin chest contat cul volta i clasics in furlan,0,7
tal il comun di ivora brasil al a aprovat la lenghe furlan come co uficial dongje da lenghe portughese,0,7
il friul par talian friuli par sloven furlanija par todesc friaul al e une regjon storiche inte bande plui a est des alps posizionat inte italie nort oriental e slovenie ocidental,0,8
al di di vue e je comprendude te regjons talians friul vignesie julie venit e te regjon slovene dal gurizan goriska,0,8
il friul al a une culture principal che furlane ma a son presintis ancje ches taliane slovene venite e todescje a si fevelin furlan venit sloven e todesc,0,8
al e delimitat a nort e nort ovest des alps cjargnelis a est e nort est des alps juliis a sud est dai prins cuei dal cjars e da la fos dal timau a sud dal mar adriatic e a ovest dae livence,0,8
si che duncje al cunfine a nort cu la carintie sfondare idrografiche de val gail a est cul cragn a sud est cun l istrie che di gjeografie e tache cul cjars a ovest cul venit e a nort ovest cul cjadovri,0,8
chest teritori al e cumo dividut tra lis provinciis talianis di udin escludude la val cjanal carintiane gurize pordenon vignesie ex mandament di puart trevis comun di midune e ta la provincie storiche slovene dal gurizan goriska,0,8
in struc si pues di che i cunfins istorics gjeografics dal friul coincidedin cu la sume di chei ben documentats dilunc dai secui dal domini di tiere da republiche di vignesie clamat patrie dal friul e cun chei da contee di gurize e gardiscje che in pratiche ricalcavin chei temporai dal patriarcjat di aquilee daspo dal an de so division fra venezians e austriacs,0,8
la preistorie e je leade plui o mancul a che de alte italie invezit cirche tal p d,0,8
c si a il prin acjadiment che al segnara la storie de tiere la vignude dai celts o gjai cjargnei,0,8
si trate di popui des monts che nol e ben ciert di dula che a fossin vignuts,0,8
