text,label,article_id
Wallace wollte nach seiner Entlassung wegen der jahrelangen Isolationshaft rechtlich gegen die Behörden vorgehen.,15,7905028
Seit Juni 2017 ist er stellvertretender Vorsitzender des Vorstands der Stiftung Europahaus Marienberg.,15,7885353
Der Schulzehof ist ein denkmalgeschützter Bauernhof im Magdeburger Stadtteil Alt Olvenstedt.,15,7865336
Spieltag beim 4:1-Sieg gegen Arminia Bielefeld.,15,7938332
Nach seiner Rückkehr nach Frankreich 1946/47 beendete Léon Schirmann sein Studium und arbeitete anschließend bis zu seiner Pensionierung als Physiklehrer.,15,7904545
"Sory gehörte zu den Offizieren, die am 15.",15,7957252
"Ab 2006 gehörte Dynacord zur Robert Bosch GmbH, die das entsprechende Produktgeschäft 2025 an Triton Partners verkaufte, das seitdem unter Keenfinity Group firmiert.",15,7923862
"Das NOK Armeniens, das Nationale Olympische Komitee Armeniens, wurde 1990 gegründet und 1993 vom IOC anerkannt.",15,8001526
Dieses Provisorium genügte bald nicht mehr.,15,7964118
1991 verließ Taylor die Kanzlei und kehrte zur FDA zurück.,15,7974467
"August 1944, als er mit zwei weiteren SS-Offizieren aus dem Kessel von Falaise zu entkommen versuchte, mit einer Wadenverwundung in britische Kriegsgefangenschaft.",15,7972277
"Projekte werden vom Bundesamt für Naturschutz mit Mitteln des Bundesministeriums für Umwelt, Naturschutz und Reaktorsicherheit gefördert.",15,8000204
"Er ist verheiratet mit der wesentlich jüngeren Mahaut Grimoard de la Verberie, einer Kreolin aus Martinique.",15,7882066
Gedreht wurde zwischen dem 26.,15,7973374
Sein eigentliches Hauptinteresse galt jedoch der Philosophie und den Naturwissenschaften.,15,7986344
Zudem stehe Ansar al-Scharia im Kontakt mit AQIM.,15,7907597
Nach seiner Kongresszeit ging er wieder der Herstellung von Handschuhen nach.,15,7929663
"Aus einer alten Gaststätte und aus Stallanlagen wurden Fachkabinette, ein Turnraum und ein neuer Essenraum für die Schulspeisung.",15,8004395
"Das Trainsjoch , die das ganze Jahr bewirtschaftet ist.",15,7919385
"Das Ländchen Bärwalde war 1462 endgültig an das Kurfürstentum Brandenburg gefallen, blieb aber bis 1742 ein böhmisches Lehen.",15,7926602
"Diese lässt sich stets entschuldigen, bis Virgil bei einem Telefonat im Haus feststellt, dass Claire in dem Haus leben muss.",15,7984555
 März 1907 nur eine Legislaturperiode im Kongress.,15,7873220
"Gegründet wurde er im Herbst 2007 als englische Limited mit De-jure-Hauptsitz in London und einer Zweigniederlassung zunächst in München, dann in Hamburg und schließlich ab 2011 in Berlin-Charlottenburg.",15,7879730
Bei diesem Verein trug dann Uzunoğlu mit 14 Toren erheblich zur Meisterschaft und damit zum Aufstieg bei.,15,7875109
Im Jahr 1831 schenkte Herzog Wilhelm die Kapelle der evangelischen Gemeinde Limburg zur Einrichtung einer eigenen Kirche.,15,7870173
Pflichtspiel für die  Ajacieds .,15,8025813
Ab 1961 war Stichnote Mitglied des Direktoriums bei Ullstein.,15,7906404
Er war auch Teil der zweiten Mannschaft von Schalke 04 und kam in der Regionalliga West zu elf Einsätzen und erzielte vier Tore.,15,8003284
"Dennoch wurde sie wie St Clears, Kidwelly oder Loughor 1215 während des Feldzugs von Llywelyn ap Iorwerth durch Südwales erneut erobert und zerstört.",15,7870754
Er war 1902 bis 1904 an militärischen Operationen im Norden des heutigen Nigeria beteiligt und nahm als Offizier am Ersten Weltkrieg teil.,15,8027627
"Es wurde montags bis freitags stündlich von zwei Zügen bedient, bis diese 1930 aus finanziellen Gründen eingestellt wurden.",15,7968438
"Als zweiter Beigeordneter in der Heilbronner Verwaltungsspitze war Mergel, gemäß Heilbronner Hauptsatzung, einer der Stellvertreter des Oberbürgermeisters.",15,7901254
"Von diesem inneren Konflikt zerrissen, fasst er den Entschluss, die akrobatische Nummer ohne Sicherung auszuführen.",15,8007955
In Deutschland wurde der Film erstmals am 4.,15,7974018
"Aus einem anfänglichen Solo-Projekt von Elena Tonra entstand ein Trio, indem der Gitarrist Igor Haefeli und der Schlagzeuger Remi Aguilella beitraten.",15,7853663
"Er schrieb eine Artikelserie unter dem Titel  The Black Crusade , die der Verlag von  New Age  später als Flugblatt herausbrachte.",15,7868276
Dieses Amt bekleidete er nach einer Wiederwahl zwischen dem 11.,15,7984858
Der Hintergrund ist weiß.,15,7960603
Garnet ist Teil des 28.,15,7975403
"2010 zog er mit seiner Familie nach Chicago, wo er am Argonne National Laboratory in der Materialwissenschaft und Werkstofftechnik forscht.",15,7878472
Im Ort leben 17 besessene Mann und die Neuseußlitzer  müssen 2 Fußknechte schicken und helfen neben anderen zum Heerfahrtswagen nach Seußlitz .,15,7862121
Thomas Morus-Kirche ist eine katholische Kirche in Münster.,15,7909224
Henriette starb am 17.,15,7991756
"Friedman Eißler, Experte für Weltanschauungsfragen und Islambeauftragter der württembergischen Landeskirche warnt seit Jahren vor Indoktrinationen innerhalb der Bewegung, die u. a. in den sog.",15,8032170
"Die Afterflosse ist lang, die Schwanzflosse gegabelt.",15,7888892
Die Orgel der von 1953 umfasst auf zwei Manualen und Pedal 30 Register und eine Transmission mit rund 2000 Pfeifen und wurde zuletzt 2021/2022 überholt.,15,7998417
"Wähler sollte jeder Staatsbürger sein, der über 25 Jahre alt war.",15,7895092
Division und erhielt seine Beförderung zum Rittmeister.,15,8029047
Ich bete an die Macht der Liebe ist die erste Zeile der ursprünglich vierten Strophe des geistlichen Liedes Für dich sei ganz mein Herz und Leben.,15,7931557
Die Town of Linden liegt im Südwesten Wisconsins.,15,7962043
Es wurde im Sommer 2018 privat verkauft.,15,7876686
In der ersten Saison dieser Liga erreichte Tokaç’ Team die Vizemeisterschaft hinter dem Erzrivalen Beşiktaş Istanbul die Vizemeisterschaft.,15,7990598
Dies wurde vor allem durch die im Ersten Weltkrieg hinzugewonnenen technischen Kenntnisse ermöglicht.,15,7985018
"Am EHF Challenge Cup 2013/14 nahmen 25 Handball-Vereinsmannschaften teil, die sich in der vorangegangenen Saison in ihren Heimatländern für den Wettbewerb qualifiziert haben.",15,7876987
2000 war er Visiting Fellow des All Souls College in Oxford und Lees Knowles Lecturer an der Universität Cambridge.,15,8034834
In der Folge nahm er mit seinem Regiment aktiv an den Kampfhandlungen teil.,15,7961108
Das versperrt Gina vor Zerrgiebel von innen.,15,7950169
Es handelt sich um Lenore.,15,8010829
Im Jahr 2009 belegte sie auf der gleichen Liste Rang 50.,15,7866161
1976 verzichtete Herman Schneebeli auf eine weitere Kongresskandidatur.,15,7883789
Erfolgreich waren zunächst vor allem die weiblichen Mitglieder.,15,7909060
Stefan im Rosental geboren und am 26.,15,7861497
