text,label,article_id
Cchiù 'a vascio 'e ll'abetato se truova 'a Chiesia 'e Santa Maria d o Puzzo e nu Museo 'e Arte Cuntadina addò ce stanno assaje oggiette 'e uso quotediano d e pupulazzione 'e nu tiempo.,1,6009
"Se tròva tòrn tòrn gl Mare Mediterranee é è spasa a l’Áfreca e gl nòrd, luongh le spond de la Spagna, de la Frangia, de gl Balcane, de la Turchía é de l’Asia menore.",1,62598
"Johnny è parapleggico, e ven' ajutato da Gyro Zeppeli, nu' nobbile e' Napule.",1,62857
Pisano è nu comune 'e 770 crestiane d''a pruvincia 'e Novara.,1,12279
Spirano è nu comune 'e 4419 crestiane d''a pruvincia 'e Bergamo.,1,13897
"'E ccanzune soje hanno fatto 'o giro d''o munno e, ancora ogge, so' cantate de' cchiù mpurtante cantante napulitane e straniere e fanno parte d''o repertorio lloro.",1,6944
"Ma c'è 'a dicere ca 'o fumetto pare ca è fatto in Amereca sicome 'e nomme, 'a cità, 'e scritte e ate cose songo tutte 'Ngrese e 'e uagliuncelle parono vivere in stile amerecano.",1,57385
Alonte è nu comune 'e 1239 'e abitante d a pruvincia 'e Vicenza.,1,7460
"'A cucina napulitana tene tanta piatte 'e cuntuorne, specie cu 'e verdire.",1,24596
Armeno è nu comune 'e 2185 'e abitante d''a pruvincia 'e Novara.,1,7603
"Edoardo Bennato è nu musecista e cantautore taliano nato a Napule, rione 'e Bagnole 'o 23 'e luglio 1946.",1,6856
'Int e siecule XVI e XVII 'o vuosco venette trasfurmato in terrieno bono cultivato a vigneto .,1,5573
'A cajorda è nu mammifero canusciuto meglio pe 'a capacetà suja a vuttà n'addore forte e fetente ra sotto 'a cora.,1,25640
Uboldo è nu comune 'e 9889 crestiane d''a pruvincia 'e Varese.,1,14328
È 'o primmo prugetto multinazzionale dint'a ll'Europa pe ammigliorà attivamente 'a vita d''e Roma.,1,6132
"Dint'â zzona d'â Marseca, 'a parte meridiunale d'â pruvincia, nce sta nu parco nazziunale nfra 'e cchiù famuse 'e ll'Italia, 'o Parco Naziunale 'e ll'Abruzzo, Lazzio e Mulise, ricco 'e anemale endemece comme ll'urzo marsecano 'a cammorza 'e ll'Abruzzo, o anemale rare comme 'o lupo, 'o ciervo 'o capreolo.",1,60697
Vigasio è nu comune 'e 7393 crestiane d a pruvincia 'e Verona.,1,14630
"Aroppo nu tiempo 'e pruggiette irregolare, 'a primma sezzione d''a",1,57004
Lucio Flavio Arriano  fuje nu storeco grieco.,1,17783
Fiorenzuola d'Arda è nu comune 'e 13349 'e abitante d''a pruvincia 'e Piacenza.,1,9919
Montebello di Bertona è nu comune 'e 1120 'e abitante da pruvincia 'e Pescara.,1,11348
"L'economia è basata prevalentemente 'ncopp o turismo ca è 'ncentivato, pure ca d e bellezze paesaggisteche, d a specialità d o luoco.",1,6057
Anzola d'Ossola è nu comune 'e 443 'e abitante d''a pruvincia 'e Verbano Cusio Ossola.,1,7539
'E mètude cchiú commune pe ottené na foto diggetale songo chilli 'e fà na scansione 'e na fiura cu nu scannerizzatore o 'e fà nu scatto a miezzo 'e na fotocamera diggetale.,1,20131
Povoletto è nu comune 'e 5500 crestiane d a pruvincia 'e Udine.,1,12471
Montefalcione è nu comune ca fa 3.394 'e abitante d''a pruvincia 'e Avellino.  ,1,5794
Avellino è nu cumune italiano 'e 57.068 abitante.,1,1537
"Cristo , ddo quale deriva 'o taliano messia.  ",1,27650
Ammancano 253 journe pa fine 'e ll'anno.,1,1650
Ranco è nu comune 'e 1208 crestiane d''a pruvincia 'e Varese.,1,12618
'O 8 'e nuvembre è 'o 312° juorno 'e ll'anno secunno 'o calannario greguriano .,1,1835
"Durante 'a 'uerra, inabile al servezzio miletare a causa d''a debolezza 'e n'uocchio, faticaje ncopp'â costruzione 'e strare e frequentaje lezione 'e matemateca int'a l'Univerzetà 'e Cracovia, canuscenno forze Stanislaw Zaremba.  ",1,20029
"N’ate diacuno, Sossio, vuleva ì pur’isso â visita pasturale, ma fuje acchiappate ’ncopp’à via pe cumanno d''o persecutore Dragonzio, guvernatore d'’a Campania.",1,6915
'E cchiù mpurtante monumiente song 'a cattedrale e 'o castiello d' 'e Conti 'e Acerra.,1,5523
'A Nazionale 'e pallone d a Spagna è 'a cchiù grossa selezione 'e pallone spagnuola.,1,65244
'O pueta è chillo cca rice o scrive a puesia.,1,59694
"Tra 'e tante se pò ricurdà 'o premmio   Il Genio dell'arte e della scienza , già vinciuto 'inte a ati tiempe, pure d'o pate Gennaro Di Roberto.",1,6223
Pittaje 'e quatre 'int'â chiesie SS.,1,26117
Gallëniar è në chëmun ë 1.279 abbëtand ë la prëvingia ë Frësënon end a gl Lazzië.,1,60679
"È spesso nzignata pure comme Bisanzio, d''o nomme grieco d''a cità 'e pprimma ô 330.",1,23939
"'E quatre soje rappresentano paesagge tipice d''a muntagna, 'ngopp'a tutto Cimalmotto, addó isso ha passato ll'infanzia soja a ffà 'o pastore 'ngopp'e muntagne, e 'a specialità soja erano 'e caricature d''e perzone d''o paese.",1,24797
"Sti diacune però, avennose prufessato cristiane, fujeno subbeto arrestate ’a Dragonzio e cundannate a s’'e magnà ’e liune int’ò ’nfiteatre è Puzzuole.",1,6915
Unnece è ’nu nummere naturale ca vene primma d‘ ’o dùrece e doppo ’o diece .,1,1985
"Prega ppe nui, Santa Madre u Diu.",1,25762
Marudo è nu comune 'e 1.166 'e crestiane d''a pruvincia 'e Lodi.,1,10959
Tene n'estesa rete sia r'autostrade ca 'e ferrovie e conda duje aeropuorti internaziunali:,1,20971
"Dint o timore 'e n'attacco d a Franza 'a punente, 'e turesche decidetteno d'accelerà 'e tiempe d a scunfitta pulacca e ccummenzajeno a ccurpì Varsavia cu na serie 'e bummardamiente a ttappéto;",1,65546
O curtiglio o curtile  de Yathrib / Medina.,1,65022
'O stile d' 'o Barocco Siciliano emergette in sèguito ô sviluppo 'e ntirviente 'e ricustruzzione succedute ô devastante terremoto che nvestette 'a Val di Noto dint' 'o 1693.,1,6176
Téne 3.180.000 abbitante.,1,62889
